id,sector,cluster,measure,validated,phase,phase_category,gap,risk,ownership
sp_1,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Ongoing urbanisation continues to drive excessive land take and dispersed settlement patterns in many alpine regions, thereby continously increasing societal vulnerability and exposure of settlements, infrastructure and humans to floods and other natural hazards. The persistent growth dynamics of settlement areas vis-a-vis intensifying hazard processes and expanding hazard zones due to climate change result in constantly growing climate risks. Substantial reduction of further land consumption, soil sealing and urban sprawl is needed to contain further increase in risk exposure, but so far spatial planning policies and instruments have been limited in effectiveness, due to lack of adequate regulations, enforceability or coherent implementation. Spatial planning systems (legislation, planning instruments, fiscal and subsidy policies, planning processes and practices at all levels) need to be re-directed towards forcing compact, inward-oriented, land-efficient and soil-saving settlement development with adequate (re-)densification of built-up areas ('land sufficiency'), while steering current and future hazard zones free from development and securing green spaces and their nature-based hazard protection and adaptation functions.",1,Prevention: non-structural,non-structural,policy design & planning,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_1,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Ongoing urbanisation continues to drive excessive land take and dispersed settlement patterns in many alpine regions, thereby continously increasing societal vulnerability and exposure of settlements, infrastructure and humans to floods and other natural hazards. The persistent growth dynamics of settlement areas vis-a-vis intensifying hazard processes and expanding hazard zones due to climate change result in constantly growing climate risks. Substantial reduction of further land consumption, soil sealing and urban sprawl is needed to contain further increase in risk exposure, but so far spatial planning policies and instruments have been limited in effectiveness, due to lack of adequate regulations, enforceability or coherent implementation. Spatial planning systems (legislation, planning instruments, fiscal and subsidy policies, planning processes and practices at all levels) need to be re-directed towards forcing compact, inward-oriented, land-efficient and soil-saving settlement development with adequate (re-)densification of built-up areas ('land sufficiency'), while steering current and future hazard zones free from development and securing green spaces and their nature-based hazard protection and adaptation functions.",1,Prevention: non-structural,non-structural,legislative & regulatory,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_1,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Ongoing urbanisation continues to drive excessive land take and dispersed settlement patterns in many alpine regions, thereby continously increasing societal vulnerability and exposure of settlements, infrastructure and humans to floods and other natural hazards. The persistent growth dynamics of settlement areas vis-a-vis intensifying hazard processes and expanding hazard zones due to climate change result in constantly growing climate risks. Substantial reduction of further land consumption, soil sealing and urban sprawl is needed to contain further increase in risk exposure, but so far spatial planning policies and instruments have been limited in effectiveness, due to lack of adequate regulations, enforceability or coherent implementation. Spatial planning systems (legislation, planning instruments, fiscal and subsidy policies, planning processes and practices at all levels) need to be re-directed towards forcing compact, inward-oriented, land-efficient and soil-saving settlement development with adequate (re-)densification of built-up areas ('land sufficiency'), while steering current and future hazard zones free from development and securing green spaces and their nature-based hazard protection and adaptation functions.",1,Prevention: non-structural,non-structural,effectiveness & efficiency,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_1,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Ongoing urbanisation continues to drive excessive land take and dispersed settlement patterns in many alpine regions, thereby continously increasing societal vulnerability and exposure of settlements, infrastructure and humans to floods and other natural hazards. The persistent growth dynamics of settlement areas vis-a-vis intensifying hazard processes and expanding hazard zones due to climate change result in constantly growing climate risks. Substantial reduction of further land consumption, soil sealing and urban sprawl is needed to contain further increase in risk exposure, but so far spatial planning policies and instruments have been limited in effectiveness, due to lack of adequate regulations, enforceability or coherent implementation. Spatial planning systems (legislation, planning instruments, fiscal and subsidy policies, planning processes and practices at all levels) need to be re-directed towards forcing compact, inward-oriented, land-efficient and soil-saving settlement development with adequate (re-)densification of built-up areas ('land sufficiency'), while steering current and future hazard zones free from development and securing green spaces and their nature-based hazard protection and adaptation functions.",1,Prevention: non-structural,non-structural,"resources, capacity & implementation","multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_2,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Goal-oriented, coordinated, enforcable, and consistently implemented portfolios of spatial planning measures and instruments (existing and new) for avoiding further land take and urban sprawl, e.g.: # enhancement and more consistent and effective implementation of existing planning instruments to achieve established goals of sustainable spatial development; # binding and restrictive (national, subnational) quantitative goals for reduction of land take and soil sealing, concretized e.g. By allocation of maximum building land quota at regional level; # prioritizing goals related to soil-efficient use of land in spatial planning laws and in the weighing of interests in planning decisions; # concretizing restrictive criteria for the zoning of building land in spatial planning laws, and consistent implementation by strengthened regional planning with binding effects for local planning; # containment of outward-oriented settlement development and stronger protection of green spaces, e.g. By instruments such as settlement boundaries, priority green zones, and mandatory dedication of areas free of building development at municipal planning level; # obligations for compensating land take on formerly undeveloped land, e.g. By re-zoning building land reserves at other locations; # forcing the re-zoning of excessive building land reserves, especially in unfavourable, dispersed locations, at municipal planning level; # intensifying the management and re-use of brownfield sites and vacant buildings, including through inter-municipal cooperation, taxation, and subsidies.",0,Prevention: non-structural,non-structural,policy design & planning,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_2,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Goal-oriented, coordinated, enforcable, and consistently implemented portfolios of spatial planning measures and instruments (existing and new) for avoiding further land take and urban sprawl, e.g.: # enhancement and more consistent and effective implementation of existing planning instruments to achieve established goals of sustainable spatial development; # binding and restrictive (national, subnational) quantitative goals for reduction of land take and soil sealing, concretized e.g. By allocation of maximum building land quota at regional level; # prioritizing goals related to soil-efficient use of land in spatial planning laws and in the weighing of interests in planning decisions; # concretizing restrictive criteria for the zoning of building land in spatial planning laws, and consistent implementation by strengthened regional planning with binding effects for local planning; # containment of outward-oriented settlement development and stronger protection of green spaces, e.g. By instruments such as settlement boundaries, priority green zones, and mandatory dedication of areas free of building development at municipal planning level; # obligations for compensating land take on formerly undeveloped land, e.g. By re-zoning building land reserves at other locations; # forcing the re-zoning of excessive building land reserves, especially in unfavourable, dispersed locations, at municipal planning level; # intensifying the management and re-use of brownfield sites and vacant buildings, including through inter-municipal cooperation, taxation, and subsidies.",0,Prevention: non-structural,non-structural,legislative & regulatory,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_2,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Goal-oriented, coordinated, enforcable, and consistently implemented portfolios of spatial planning measures and instruments (existing and new) for avoiding further land take and urban sprawl, e.g.: # enhancement and more consistent and effective implementation of existing planning instruments to achieve established goals of sustainable spatial development; # binding and restrictive (national, subnational) quantitative goals for reduction of land take and soil sealing, concretized e.g. By allocation of maximum building land quota at regional level; # prioritizing goals related to soil-efficient use of land in spatial planning laws and in the weighing of interests in planning decisions; # concretizing restrictive criteria for the zoning of building land in spatial planning laws, and consistent implementation by strengthened regional planning with binding effects for local planning; # containment of outward-oriented settlement development and stronger protection of green spaces, e.g. By instruments such as settlement boundaries, priority green zones, and mandatory dedication of areas free of building development at municipal planning level; # obligations for compensating land take on formerly undeveloped land, e.g. By re-zoning building land reserves at other locations; # forcing the re-zoning of excessive building land reserves, especially in unfavourable, dispersed locations, at municipal planning level; # intensifying the management and re-use of brownfield sites and vacant buildings, including through inter-municipal cooperation, taxation, and subsidies.",0,Prevention: non-structural,non-structural,compliance & enforcement,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_2,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Goal-oriented, coordinated, enforcable, and consistently implemented portfolios of spatial planning measures and instruments (existing and new) for avoiding further land take and urban sprawl, e.g.: # enhancement and more consistent and effective implementation of existing planning instruments to achieve established goals of sustainable spatial development; # binding and restrictive (national, subnational) quantitative goals for reduction of land take and soil sealing, concretized e.g. By allocation of maximum building land quota at regional level; # prioritizing goals related to soil-efficient use of land in spatial planning laws and in the weighing of interests in planning decisions; # concretizing restrictive criteria for the zoning of building land in spatial planning laws, and consistent implementation by strengthened regional planning with binding effects for local planning; # containment of outward-oriented settlement development and stronger protection of green spaces, e.g. By instruments such as settlement boundaries, priority green zones, and mandatory dedication of areas free of building development at municipal planning level; # obligations for compensating land take on formerly undeveloped land, e.g. By re-zoning building land reserves at other locations; # forcing the re-zoning of excessive building land reserves, especially in unfavourable, dispersed locations, at municipal planning level; # intensifying the management and re-use of brownfield sites and vacant buildings, including through inter-municipal cooperation, taxation, and subsidies.",0,Prevention: non-structural,non-structural,"resources, capacity & implementation","multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_3,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Adjustment of financial instruments with steering effects on land use and soils: # incentivicing soil-saving municipal policies by re-designing the fiscal transfer scheme between territorial authorities ('finanzausgleich'); # re-adjusting soil-related fees and taxes to support economical, soil-efficient land use (e.g., property tax, infrastructure development fees); # introducing new fiscal policies with steering effects against urban sprawl and land consumption, e.g. Fees for new zoning of building land (compensating for increase in property value), fees for secondary homes and building vacancies, soil sealing fees; # re-designing subsidies to support soil-saving, e.g. By integrating financial incentives for retrofitting of buildings and brownfield recycling into housing construction subsidy schemes; staggering housing construction subsidies according to building densities, sealing degrees, and centrality of locations; funding for strengthening and revitalizing city centres.",0,Prevention: non-structural,non-structural,policy design & planning,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
sp_3,spatial planning,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development","Adjustment of financial instruments with steering effects on land use and soils: # incentivicing soil-saving municipal policies by re-designing the fiscal transfer scheme between territorial authorities ('finanzausgleich'); # re-adjusting soil-related fees and taxes to support economical, soil-efficient land use (e.g., property tax, infrastructure development fees); # introducing new fiscal policies with steering effects against urban sprawl and land consumption, e.g. Fees for new zoning of building land (compensating for increase in property value), fees for secondary homes and building vacancies, soil sealing fees; # re-designing subsidies to support soil-saving, e.g. By integrating financial incentives for retrofitting of buildings and brownfield recycling into housing construction subsidy schemes; staggering housing construction subsidies according to building densities, sealing degrees, and centrality of locations; funding for strengthening and revitalizing city centres.",0,Prevention: non-structural,non-structural,legislative & regulatory,"multi-hazard, multi-risk","multi-level, cross-level, co-owned"
