id,measure,validated,id_cluster,id_sector,id_gap,id_ownership,id_risk,phase_id,id_phase_category
sp_5,"Lack of residual risk information for spatial planning and property owners: provision of technical basic information about areas exposed to residual risk (e. G. Floods with 300-year return intervals, or beyond) to spatial planning authorities, municipalities, planners and property owners; mandatory display and visualisation of residual risk information in spatial plans and maps, in particular at local level; public access to residual risk information to promote individual, private risk reduction measures.",0,2,3,7,2,1,1,1
sp_5,"Lack of residual risk information for spatial planning and property owners: provision of technical basic information about areas exposed to residual risk (e. G. Floods with 300-year return intervals, or beyond) to spatial planning authorities, municipalities, planners and property owners; mandatory display and visualisation of residual risk information in spatial plans and maps, in particular at local level; public access to residual risk information to promote individual, private risk reduction measures.",0,2,3,6,2,1,1,1
sp_5,"Lack of residual risk information for spatial planning and property owners: provision of technical basic information about areas exposed to residual risk (e. G. Floods with 300-year return intervals, or beyond) to spatial planning authorities, municipalities, planners and property owners; mandatory display and visualisation of residual risk information in spatial plans and maps, in particular at local level; public access to residual risk information to promote individual, private risk reduction measures.",0,2,3,7,2,1,2,2
sp_5,"Lack of residual risk information for spatial planning and property owners: provision of technical basic information about areas exposed to residual risk (e. G. Floods with 300-year return intervals, or beyond) to spatial planning authorities, municipalities, planners and property owners; mandatory display and visualisation of residual risk information in spatial plans and maps, in particular at local level; public access to residual risk information to promote individual, private risk reduction measures.",0,2,3,6,2,1,2,2
sp_5,"Lack of residual risk information for spatial planning and property owners: provision of technical basic information about areas exposed to residual risk (e. G. Floods with 300-year return intervals, or beyond) to spatial planning authorities, municipalities, planners and property owners; mandatory display and visualisation of residual risk information in spatial plans and maps, in particular at local level; public access to residual risk information to promote individual, private risk reduction measures.",0,2,3,7,2,1,4,3
sp_5,"Lack of residual risk information for spatial planning and property owners: provision of technical basic information about areas exposed to residual risk (e. G. Floods with 300-year return intervals, or beyond) to spatial planning authorities, municipalities, planners and property owners; mandatory display and visualisation of residual risk information in spatial plans and maps, in particular at local level; public access to residual risk information to promote individual, private risk reduction measures.",0,2,3,6,2,1,4,3
sp_9,"Developing and implementing legal requirements for flood-/hazard-proof building design in residual risk zones (building development plan, building law).",0,2,3,2,2,1,2,2
sp_9,"Developing and implementing legal requirements for flood-/hazard-proof building design in residual risk zones (building development plan, building law).",0,2,3,1,2,1,2,2
sp_17,"Supportive, active role of spatial planning in managing retreat and resettlement (in high-risk areas with returning damage events and limited feasibility of technical protection) and for relocation of high-risk uses and critical infrastructure.",1,4,3,8,5,1,1,1
sp_20,"Utilizing the potentials of local zoning plans, building development plans and building regulations to secure and activate space potentials for green and blue infrastructure on smaller scales within urban areas, including for rainwater and drought management (runoff, retention, infiltration, storage): legally based provisions for enabling and/or stipulating minimum shares of green, unsealed areas for rainwater retention and infiltration (at planning area level or building site level), maximum sealing percentages, requirements for desealing, areas for decentralized rainwater mangement, requirements for greening roofs, buildings and streets, etc.",0,5,3,1,3,1,1,1
sp_20,"Utilizing the potentials of local zoning plans, building development plans and building regulations to secure and activate space potentials for green and blue infrastructure on smaller scales within urban areas, including for rainwater and drought management (runoff, retention, infiltration, storage): legally based provisions for enabling and/or stipulating minimum shares of green, unsealed areas for rainwater retention and infiltration (at planning area level or building site level), maximum sealing percentages, requirements for desealing, areas for decentralized rainwater mangement, requirements for greening roofs, buildings and streets, etc.",0,5,3,2,3,1,1,1
sp_20,"Utilizing the potentials of local zoning plans, building development plans and building regulations to secure and activate space potentials for green and blue infrastructure on smaller scales within urban areas, including for rainwater and drought management (runoff, retention, infiltration, storage): legally based provisions for enabling and/or stipulating minimum shares of green, unsealed areas for rainwater retention and infiltration (at planning area level or building site level), maximum sealing percentages, requirements for desealing, areas for decentralized rainwater mangement, requirements for greening roofs, buildings and streets, etc.",0,5,3,1,3,1,2,2
sp_20,"Utilizing the potentials of local zoning plans, building development plans and building regulations to secure and activate space potentials for green and blue infrastructure on smaller scales within urban areas, including for rainwater and drought management (runoff, retention, infiltration, storage): legally based provisions for enabling and/or stipulating minimum shares of green, unsealed areas for rainwater retention and infiltration (at planning area level or building site level), maximum sealing percentages, requirements for desealing, areas for decentralized rainwater mangement, requirements for greening roofs, buildings and streets, etc.",0,5,3,2,3,1,2,2
sp_22,"Designating natural flood runoff areas, flood retention areas, areas for controlled flooding in cases of emergency, and other areas with hazard-protective functions and keeping them clear of settlement development at all planning levels. This requires designating such areas as priority, precautionary or reservation zones in regional and inter-municipal plans, and defining clear, strict and legally binding restrictions for zoning, building, and other intense uses that might conflict with their runoff or retention functions at local planning level.",0,6,3,1,5,1,1,1
sp_22,"Designating natural flood runoff areas, flood retention areas, areas for controlled flooding in cases of emergency, and other areas with hazard-protective functions and keeping them clear of settlement development at all planning levels. This requires designating such areas as priority, precautionary or reservation zones in regional and inter-municipal plans, and defining clear, strict and legally binding restrictions for zoning, building, and other intense uses that might conflict with their runoff or retention functions at local planning level.",0,6,3,2,5,1,1,1
sp_22,"Designating natural flood runoff areas, flood retention areas, areas for controlled flooding in cases of emergency, and other areas with hazard-protective functions and keeping them clear of settlement development at all planning levels. This requires designating such areas as priority, precautionary or reservation zones in regional and inter-municipal plans, and defining clear, strict and legally binding restrictions for zoning, building, and other intense uses that might conflict with their runoff or retention functions at local planning level.",0,6,3,5,5,1,1,1
sp_23,Instruments and models for adapted land management in flood runoff and retention areas in order to safeguard fulfillment of their protective functions.,0,6,3,8,2,1,1,1
sp_23,Instruments and models for adapted land management in flood runoff and retention areas in order to safeguard fulfillment of their protective functions.,0,6,3,4,2,1,1,1
sp_24,"Restoration of floodplain ecosystems: utilizing mutual synergies in implementing measures for ecological river enhancement (water framework directive), nature restoration (restoration directive), and flood control (floods directive).",0,6,3,1,1,1,1,1
sp_24,"Restoration of floodplain ecosystems: utilizing mutual synergies in implementing measures for ecological river enhancement (water framework directive), nature restoration (restoration directive), and flood control (floods directive).",0,6,3,1,2,1,1,1
